polling_station_number,parlament_voters,Oppobloc,Strength and Honor,Fatherland,OP for Life,European Solidarity,Ukrainian Strategy,Servant of the People,Radical Party,Party of Shariy,Voice,Freedom,Other parties,district_number
51216,141,2,1,14,9,6,24,48,26,2,4,1,4,13
51217,178,7,3,19,15,5,16,54,44,0,7,2,6,13
51218,310,15,22,12,17,26,68,62,54,0,9,1,24,13
51219,40,1,2,0,4,13,2,14,3,0,0,0,1,13
51220,350,10,18,24,16,24,42,142,38,3,16,4,13,13
51221,173,9,8,8,11,17,31,39,32,0,5,4,9,13
51222,537,8,29,45,9,23,107,219,49,3,18,8,19,13
51223,215,14,12,33,6,22,16,95,7,1,2,0,7,13
51224,393,25,14,49,10,11,38,174,47,2,6,5,12,13
51225,209,26,5,14,6,17,39,58,33,0,6,0,5,13
51226,156,6,2,21,11,34,33,29,14,0,3,0,3,13
51227,215,14,26,14,7,21,22,55,46,0,1,0,9,13
51228,21,4,3,0,0,1,1,4,6,0,0,0,2,13
51229,92,13,1,4,4,0,9,36,20,0,0,0,5,13
51230,79,6,1,3,2,8,13,35,7,0,1,1,2,13
51231,189,2,6,11,9,17,12,61,63,1,0,2,5,13
51232,162,5,8,36,7,13,10,43,19,1,4,9,7,13
51233,107,1,4,5,3,8,12,30,38,0,1,1,4,13
51234,246,17,8,30,2,19,47,65,31,0,6,7,14,13
51235,99,2,9,4,3,7,12,22,27,0,5,1,7,13
51236,120,4,4,8,3,11,13,38,30,0,4,1,4,13
51237,277,5,5,30,10,22,51,110,15,2,9,5,13,13
51238,254,13,16,27,7,18,66,50,55,0,2,0,0,13
51239,114,11,2,13,3,14,8,41,19,0,1,1,1,13
51240,279,11,8,21,21,22,57,54,65,0,6,1,13,13
51241,96,4,6,12,7,14,6,27,16,0,2,0,2,13
51242,148,21,8,8,5,4,26,47,18,0,0,0,11,13
51243,93,3,2,1,4,10,21,30,20,0,1,0,1,13
51244,180,8,4,7,12,6,24,82,20,0,4,2,11,13
51245,267,12,8,14,3,29,72,77,37,1,2,2,10,13
51246,140,3,2,10,3,24,16,46,22,0,9,1,4,13
51247,259,15,11,19,10,23,40,94,32,0,6,1,8,13
51248,124,4,2,1,4,9,38,41,13,0,0,1,11,13
51249,157,9,3,6,5,9,28,46,36,2,1,6,6,13
51250,90,9,5,5,3,11,14,16,19,2,5,0,1,13
51251,61,3,3,8,0,7,8,16,15,0,0,0,1,13
51252,174,4,10,14,4,13,12,76,34,0,5,0,2,13
51253,83,12,2,3,0,6,12,31,14,0,2,0,1,13
51254,102,5,3,8,3,15,12,21,19,1,5,1,9,13
51255,305,11,18,16,9,22,68,107,32,1,10,4,7,13
51256,183,1,7,23,6,10,29,70,20,1,8,2,6,13
51257,286,22,2,15,10,15,32,135,36,4,2,10,3,13
51258,275,16,11,28,14,22,25,91,56,1,6,2,3,13
51259,185,7,7,33,8,11,35,38,33,2,5,1,5,13
51260,146,3,5,9,6,17,33,36,21,4,5,1,6,13
51261,145,6,8,13,3,26,27,28,24,2,2,0,6,13
51262,218,8,4,24,10,5,21,77,56,0,0,7,6,13
51263,248,23,14,25,7,11,32,78,43,0,2,6,7,13
51264,392,16,27,53,22,15,40,147,52,0,7,1,12,13
51265,411,4,17,51,20,22,51,163,48,0,14,6,15,13
51266,95,8,7,5,3,11,21,13,20,0,1,4,2,13
51267,197,14,12,21,7,14,27,73,23,0,4,0,2,13
51268,472,22,11,47,9,28,85,190,51,0,13,2,14,13
51269,198,15,1,9,8,26,51,38,36,0,6,0,8,13
51270,117,6,6,22,6,2,9,50,9,0,2,0,5,13
51271,204,9,9,21,5,14,39,66,30,0,2,1,8,13
51272,149,8,5,6,5,27,36,21,26,0,2,0,13,13
51273,304,11,19,25,3,31,49,103,58,0,2,1,2,13
51274,231,6,7,29,2,14,25,72,55,0,11,0,10,13
51276,686,3,33,42,51,56,74,310,50,4,35,9,19,13
51277,437,6,18,45,25,31,42,173,28,1,26,11,31,13
51278,311,11,8,34,33,32,29,98,38,0,10,8,10,13
51279,195,11,5,36,11,11,16,64,28,0,0,4,9,13
51280,166,4,5,6,4,16,25,64,29,3,6,2,2,13
51281,68,0,5,3,3,15,8,18,14,0,0,0,2,13
51282,397,10,15,21,19,28,61,159,40,7,21,6,10,13
51283,221,5,17,21,8,6,25,85,28,1,8,4,13,13
51284,19,0,3,3,1,1,4,7,0,0,0,0,0,13
51608,914,10,41,76,66,57,123,431,24,10,39,10,27,13
51609,923,6,58,69,78,80,101,411,18,10,55,11,26,13
51610,762,9,44,80,34,66,80,355,19,12,34,11,18,13
